local_day,day_index,date,price,real_price,log_return,aggregate_action,total_demand,active_agents,alive_agents,best_bid,best_ask,spread,mid_price,num_fills,mean_action_lstm,mean_action_gru,mean_action_cnn,mean_action_mlp,mean_action_momentum,mean_action_value,mean_action_random,mean_action_band_low,mean_action_band_mid,mean_action_band_high
30,649,2014-01-06,177.13210927555164,145.95,-0.004749498441478495,-1.2533333333333334,-1.2533333333333334,143,300,177.97539896880872,177.97539896880872,0.0,177.97539896880872,0,-0.5555555555555556,0.0,0.7777777777777778,0.3333333333333333,-0.52,-3.07,-0.34375,0.25,0.0,0.16666666666666666
31,650,2014-01-07,175.60523393350687,150.75,-0.008657347502298797,-1.8633333333333333,-1.8633333333333333,138,300,177.13210927555164,177.13210927555164,0.0,177.13210927555164,0,-0.3333333333333333,-0.4444444444444444,0.8888888888888888,0.5555555555555556,-2.36,-3.16,-0.203125,0.3333333333333333,-0.08333333333333333,0.25
32,651,2014-01-08,175.2704766106039,149.55,-0.0019081253812250304,-0.6433333333333333,-0.6433333333333333,143,300,175.60523393350687,175.60523393350687,0.0,175.60523393350687,0,-0.3333333333333333,-1.6666666666666667,0.8888888888888888,0.6666666666666666,1.06,-2.98,0.046875,0.4166666666666667,0.0,-0.75
33,652,2014-01-09,174.07188947804192,148.3,-0.006861989566992622,-1.51,-1.51,146,300,175.2704766106039,175.2704766106039,0.0,175.2704766106039,0,-0.2222222222222222,-0.7777777777777778,0.4444444444444444,0.7777777777777778,-1.3,-3.15,-0.15625,0.08333333333333333,-0.08333333333333333,0.16666666666666666
34,653,2014-01-10,172.83206133749385,143.75,-0.007147992501033423,-1.68,-1.68,154,300,174.07188947804192,174.07188947804192,0.0,174.07188947804192,0,-0.4444444444444444,-1.2222222222222223,0.6666666666666666,0.3333333333333333,-1.4,-3.49,-0.140625,-0.08333333333333333,-0.08333333333333333,-0.3333333333333333
35,654,2014-01-13,171.0789554829265,147.05,-0.010195201397612779,-2.0,-2.0,146,300,172.83206133749385,172.83206133749385,0.0,172.83206133749385,0,-0.3333333333333333,-0.6666666666666666,0.3333333333333333,0.2222222222222222,-2.26,-3.53,-0.265625,0.25,-0.25,-0.3333333333333333
36,655,2014-01-14,170.25041341159323,150.1,-0.004854804620830384,-1.0066666666666666,-1.0066666666666666,142,300,171.0789554829265,171.0789554829265,0.0,171.0789554829265,0,-0.5555555555555556,-1.1111111111111112,0.5555555555555556,0.0,0.6,-3.26,-0.40625,-0.4166666666666667,-0.4166666666666667,0.0
37,656,2014-01-15,169.1020600574511,150.8,-0.006767934977781152,-0.76,-0.76,140,300,170.25041341159323,170.25041341159323,0.0,170.25041341159323,0,0.0,-1.1111111111111112,0.5555555555555556,0.7777777777777778,0.63,-2.75,-0.28125,0.0,-0.16666666666666666,0.3333333333333333
38,657,2014-01-16,168.29186722154574,148.65,-0.004802661385962018,-1.19,-1.19,141,300,169.1020600574511,169.1020600574511,0.0,169.1020600574511,0,-0.5555555555555556,-0.2222222222222222,1.2222222222222223,0.5555555555555556,-0.23,-3.29,-0.21875,0.5833333333333334,0.25,-0.08333333333333333
39,658,2014-01-17,166.30894676030323,150.95,-0.011852593253643845,-1.83,-1.83,160,300,168.29186722154574,168.29186722154574,0.0,168.29186722154574,0,-0.4444444444444444,-0.8888888888888888,1.1111111111111112,0.5555555555555556,-1.54,-3.62,-0.5625,0.3333333333333333,-0.3333333333333333,0.25
40,659,2014-01-20,165.55973247082648,147.65,-0.004515132696636131,-1.14,-1.14,173,300,166.30894676030323,166.30894676030323,0.0,166.30894676030323,0,-1.4444444444444444,-0.6666666666666666,1.4444444444444444,0.4444444444444444,0.29,-3.52,-0.265625,0.08333333333333333,-0.25,0.0
